meeting details,Job profile,Job family,Overall experience(in years),Primary Skill,secondary Skill,certifications,Org Experience,TQ score,Language proficiency,Employment type (Full time/part time),Management level,Specialization,Trainings,Highest qualification,countrycode,Meeting required/optional,Email mention(yes/No),meeting type(series/instance),recent emails related to meeting invite(yes/No)
Java proect KT call,Vendor Management Specialist,Software Engineering > Custom Software Engineering,19,Behavioral Sciences,IT Troubleshooting,AWS,6,5,"english, hindi",full time,11-Analyst,project management,SAP,mca,IN,optional,yes,instance,yes
Test team status call,Vendor Management Specialist,Technology & Information Architectures > Technology Architecture,16,Advance Front End Development NodeJs,ASP.NET MVC,Azure,8,10,"english, german",part time,8-Associate Manager,SAP,management,mba,PH,optional,No,series,no
Java proect KT call,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Packaged Application Development,14,Communications Development and Delivery,IT Troubleshooting,AWS,4,12,"english, french",full time,11-Analyst,SAP,Azure,btech,US,optional,No,series,no
Agile scrum KT call,Vendor Management Specialist,Training & Development > Business Interlock,11,Java Enterprise Edition,Avanade Scrum Project Management,Azure,13,10,"english, hindi",full time,10-Senior Analyst,Google cloud,management,btech,IN,optional,No,series,no
Test team status call,Custom Software Engineering Specialist,Technology & Information Architectures > Technology Architecture,18,Stakeholder Management,Vendor Management,AWS,3,5,"english, hindi",part time,7-Manager,Cloud,Java,btech,IN,optional,yes,instance,yes
people lead connect - discuss queries,Tech Architecture Manager,Sourcing & Procurement Services > Vendor Management,23,ASP.NET MVC,Culture Strategy,java,12,10,"english, hindi",part time,9-Team Lead/Consultant,Microsoft backend,SAP,btech,IN,optional,yes,series,yes
java training call,People Advisor Analyst,Software Engineering > Custom Software Engineering,22,Microsoft Azure Machine Learning,SAP for Utilities ,Azure,5,3,"english, french",full time,11-Analyst,Azure,management,btech,IN,optional,No,instance,yes
people lead connect - discuss queries,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,4,Communications Development and Delivery,Architectural Design,management ,3,10,"english, hindi",full time,12-Associate,Microsoft frontend,Java,mca,IN,optional,No,instance,no
scrum call SAP project ,Packaged App Development Analyst,Human Resources > Talent Strategy,18,Microsoft Azure Machine Learning,Microsoft Avanade Agile Framework (AAF),AWS,1,8,"english, hindi",full time,12-Associate,Google cloud,Java,bca,PH,optional,yes,series,yes
Test team status call,Vendor Management Specialist,Software Engineering > Quality Engineering,1,Communications Development and Delivery,Avanade Scrum Project Management,Selenium,6,3,"english, french",part time,12-Associate,project management,Java,btech,PH,optional,No,instance,yes
troubleshooting call - login issue,custom software engineering analyst,Sourcing & Procurement Services > Vendor Management,24,.NET Architecture,Agile Team Practices,Selenium,4,8,"english, hindi",full time,9-Team Lead/Consultant,SAP,Java,btech,IN,required,No,series,yes
java training call,custom software engineering analyst,Information Technology Operations > Software/Application/Cloud Tech Support,7,Stakeholder Management,Quality Engineering Strategy Implementation,AWS,9,6,"english, french",full time,8-Associate Manager,AWS,SAP,btech,IN,optional,No,instance,no
User login issue - client call,Talent Strategy Senior Manager,Training & Development > Business Interlock,20,.NET Architecture,Candidate Relationship Management,Google cloud,19,12,"english, german",full time,12-Associate,Microsoft backend,angular,btech,IN,optional,No,instance,yes
Test team status call,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Custom Software Engineering,16,Stakeholder Management,Avanade Scrum Project Management,SAP,16,3,"english, hindi",full time,12-Associate,Azure,angular,btech,IN,optional,No,instance,no
java training call,Talent Strategy Senior Manager,Information Technology Operations > Software/Application/Cloud Tech Support,28,Microsoft ASP.NET,Culture Strategy,management ,10,5,"english, hindi",full time,11-Analyst,Google cloud,Azure,mba,CN,optional,No,series,no
troubleshooting call - login issue,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,21,Advance Front End Development NodeJs,Jakarta Enterprise Beans,Selenium,9,10,"english, german",full time,10-Senior Analyst,Microsoft frontend,dot net,btech,IN,required,yes,series,yes
people lead connect - discuss queries,Packaged App Development Analyst,Sourcing & Procurement Services > Vendor Management,27,Automated Testing,Architectural Design,front end,5,8,"english, hindi",full time,8-Associate Manager,Azure,Azure,btech,SL,required,yes,instance,yes
java training call,Tech Architecture Manager,Software Engineering > Quality Engineering Architecture,26,.NET Architecture,Amazon Web Services (AWS),front end,5,4,"english, hindi",full time,10-Senior Analyst,Azure,Azure,btech,IN,optional,No,instance,yes
Agile scrum KT call,Tech Architecture Manager,Software Engineering > Custom Software Engineering,16,ASP.NET MVC,Quality Engineering Strategy Implementation,Google cloud,12,12,"english, french",full time,9-Team Lead/Consultant,Cloud,Java,mca,IN,required,No,instance,yes
troubleshooting call - login issue,custom software engineering analyst,Human Resources > Talent Strategy,21,Angular,Angular,front end,4,6,"english, german",full time,7-Manager,project management,SAP,mba,IN,required,yes,instance,yes
java training call,Tech Architecture Manager,Technology & Information Architectures > Technology Architecture,2,Behavioral Sciences,Microsoft Avanade Agile Framework (AAF),AWS,7,4,"english, japanese",full time,12-Associate,Microsoft backend,management,bca,US,required,No,instance,yes
Java proect KT call,Tech Architecture Manager,Software Engineering > Packaged Application Development,29,SAP ABAP Development,ASP.NET MVC,management ,18,10,"english, hindi",full time,12-Associate,Google cloud,Java,mca,US,optional,No,instance,yes
scrum call SAP project ,custom software engineering analyst,Software Engineering > Packaged Application Development,14,Stakeholder Management,Architectural Design,AWS,19,10,"english, japanese",full time,12-Associate,Azure,management,mba,PH,optional,No,instance,no
new vendor onboarding call,custom software engineering analyst,Software Engineering > Packaged Application Development,6,Automated Testing,Amazon Web Services (AWS),Scrum,17,12,"english, japanese",full time,12-Associate,project management,Azure,btech,PH,optional,No,series,yes
troubleshooting call - login issue,custom software engineering analyst,Human Resources > Talent Strategy,19,Applications Architecture,IT Troubleshooting,java,2,10,"english, japanese",full time,12-Associate,AWS,angular,btech,US,optional,No,instance,no
scrum call SAP project ,Talent Strategy Senior Manager,Software Engineering > Packaged Application Development,17,Java Enterprise Edition,ASP.NET MVC,AWS,14,12,"english, french",full time,11-Analyst,Azure,google cloud,mca,IN,optional,yes,series,no
troubleshooting call - login issue,Talent Strategy Senior Manager,Software Engineering > Custom Software Engineering,29,Automated Testing,Agile Team Practices,Google cloud,5,3,"english, japanese",full time,10-Senior Analyst,Cloud,Java,mba,PH,required,yes,instance,yes
java training call,custom software engineering analyst,Software Engineering > Packaged Application Development,12,SAP ABAP Development,Avanade Scrum Project Management,Selenium,9,8,"english, hindi",full time,12-Associate,Microsoft backend,dot net,btech,PH,required,No,instance,yes
Agile scrum KT call,Packaged App Development Analyst,Software Engineering > Quality Engineering,28,Microsoft Functional Testing,Angular,Scrum,17,12,"english, chinese",full time,10-Senior Analyst,Azure,angular,btech,IN,optional,No,instance,no
new vendor onboarding call,Vendor Management Specialist,Software Engineering > Custom Software Engineering,11,Advance Front End Development NodeJs,Microsoft Avanade Agile Framework (AAF),Azure,19,12,"english, hindi",full time,11-Analyst,SAP,management,btech,IN,optional,No,series,yes
Agile scrum KT call,Business Interlock Manager,Human Resources > Talent Strategy,16,SAP ABAP Development,Angular,Azure,2,11,"english, french",full time,6-Senior Manager,Azure,SAP,btech,IN,optional,No,series,no
scrum call SAP project ,People Advisor Analyst,Technology & Information Architectures > Technology Architecture,8,Microsoft Azure Machine Learning,SAP for Utilities ,Selenium,14,10,"english, hindi",full time,10-Senior Analyst,Cloud,management,mba,PH,optional,yes,instance,yes
weekly status call ,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Packaged Application Development,12,.NET Architecture,IT Troubleshooting,Azure,11,11,"english, german",full time,10-Senior Analyst,Azure,Azure,btech,IN,required,yes,instance,yes
User login issue - client call,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,12,Behavioral Sciences,Candidate Relationship Management,management ,3,10,"english, hindi",full time,7-Manager,Azure,Azure,btech,IN,required,No,series,yes
troubleshooting call - login issue,Packaged App Development Analyst,Software Engineering > Quality Engineering,28,SAP ABAP Development,Candidate Relationship Management,management ,15,12,"english, japanese",full time,11-Analyst,Microsoft frontend,dot net,mba,US,optional,No,instance,yes
java training call,Business Interlock Manager,Sourcing & Procurement Services > Vendor Management,21,.NET Architecture,Avanade Scrum Project Management,java,8,10,"english, hindi",part time,6-Senior Manager,AWS,Java,btech,IN,required,yes,instance,yes
people lead connect - discuss queries,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,25,Communications Development and Delivery,Jakarta Enterprise Beans,Scrum,4,12,"english, hindi",full time,12-Associate,Azure,management,btech,IN,optional,No,instance,yes
User login issue - client call,Vendor Management Specialist,Software Engineering > Quality Engineering,1,Microsoft ASP.NET,Avanade Scrum Project Management,Google cloud,5,8,"english, hindi",full time,12-Associate,Google cloud,Java,mca,IN,required,No,series,yes
Java proect KT call,custom software engineering analyst,Software Engineering > Custom Software Engineering,4,Automated Testing,Angular,Google cloud,13,10,"english, japanese",part time,11-Analyst,Cloud,SAP,btech,US,required,yes,instance,no
scrum call SAP project ,Packaged App Development Analyst,Software Engineering > Packaged Application Development,24,Automated Testing,Avanade Scrum Project Management,Google cloud,7,8,"english, german",full time,11-Analyst,AWS,Java,btech,US,required,yes,instance,no
User login issue - client call,custom software engineering analyst,Sourcing & Procurement Services > Vendor Management,13,SAP ABAP Development,Agile Team Practices,Google cloud,1,6,"english, french",full time,6-Senior Manager,Microsoft backend,dot net,btech,IN,required,No,series,no
Test team status call,Custom Software Engineering Specialist,Sourcing & Procurement Services > Vendor Management,1,Microsoft Functional Testing,Agile Team Practices,AWS,11,8,"english, hindi",part time,11-Analyst,SAP,google cloud,btech,IN,optional,No,instance,yes
Test team status call,Vendor Management Specialist,Software Engineering > Custom Software Engineering,19,Angular,Agile Team Practices,SAP,12,10,"english, japanese",full time,12-Associate,project management,Java,mca,IN,required,No,instance,yes
Java proect KT call,Custom Software Engineering Specialist,Software Engineering > Custom Software Engineering,6,Microsoft Functional Testing,SAP for Utilities ,Selenium,6,11,"english, hindi",full time,9-Team Lead/Consultant,Google cloud,Java,bca,IN,required,No,series,yes
Test team status call,Packaged App Development Analyst,Human Resources > People Advisor,16,Angular,Quality Engineering Strategy Implementation,SAP,19,11,"english, japanese",part time,12-Associate,Cloud,angular,btech,PH,optional,yes,instance,no
weekly status call ,Custom Software Engineering Specialist,Software Engineering > Custom Software Engineering,28,Microsoft Functional Testing,Culture Strategy,Azure,6,6,"english, german",full time,12-Associate,Microsoft frontend,angular,mba,PH,required,No,series,yes
java training call,custom software engineering analyst,Software Engineering > Quality Engineering Architecture,5,Microsoft Azure Machine Learning,Microsoft Avanade Agile Framework (AAF),Scrum,18,12,"english, hindi",full time,10-Senior Analyst,Google cloud,google cloud,mba,PH,optional,No,instance,no
scrum call SAP project ,Business Interlock Manager,Software Engineering > Custom Software Engineering,19,Business Operation Management,Agile Team Practices,AWS,10,10,"english, german",part time,11-Analyst,project management,management,btech,IN,required,No,series,no
User login issue - client call,Custom Software Engineering Specialist,Software Engineering > Custom Software Engineering,6,Microsoft ASP.NET,Vendor Management,front end,14,8,"english, japanese",full time,11-Analyst,AWS,Azure,mca,SL,required,No,instance,yes
people lead connect - discuss queries,Vendor Management Specialist,Software Engineering > Custom Software Engineering,29,SAP ABAP Development,Vendor Management,management ,13,10,"english, hindi",full time,8-Associate Manager,Google cloud,google cloud,mca,PH,required,No,instance,yes
User login issue - client call,Tech Architecture Manager,Human Resources > People Advisor,22,ASP.NET MVC,IT Troubleshooting,management ,16,8,"english, hindi",full time,6-Senior Manager,Azure,SAP,btech,IN,optional,No,series,no
Test team status call,Custom Software Engineering Specialist,Software Engineering > Quality Engineering,8,Communications Development and Delivery,IT Troubleshooting,AWS,19,6,"english, hindi",full time,12-Associate,Azure,SAP,btech,SL,optional,yes,series,yes
Java proect KT call,Quality Engineering Associate Manager,Information Technology Operations > Software/Application/Cloud Tech Support,29,Angular,Agile Team Practices,AWS,10,8,"english, hindi",full time,8-Associate Manager,Google cloud,Azure,mba,PH,optional,yes,instance,no
Agile scrum KT call,Quality Engineering Associate Manager,Information Technology Operations > Software/Application/Cloud Tech Support,23,Microsoft Azure Machine Learning,ASP.NET MVC,SAP,13,11,"english, hindi",full time,12-Associate,project management,management,btech,US,required,No,instance,no
scrum call SAP project ,Business Interlock Manager,Software Engineering > Custom Software Engineering,9,Applications Architecture,Microsoft Avanade Agile Framework (AAF),Azure,13,12,"english, japanese",full time,9-Team Lead/Consultant,Microsoft backend,management,btech,PH,required,No,instance,no
scrum call SAP project ,Vendor Management Specialist,Software Engineering > Packaged Application Development,23,Java Enterprise Edition,Jakarta Enterprise Beans,Azure,4,11,"english, hindi",full time,7-Manager,Microsoft backend,google cloud,btech,IN,optional,yes,series,yes
java training call,Quality Engineering Team Lead,Training & Development > Business Interlock,23,.NET Architecture,Amazon Web Services (AWS),Google cloud,10,10,"english, japanese",full time,12-Associate,Google cloud,dot net,btech,IN,optional,No,instance,yes
java training call,Vendor Management Specialist,Information Technology Operations > Software/Application/Cloud Tech Support,13,Applications Architecture,IT Troubleshooting,AWS,2,6,"english, japanese",full time,12-Associate,Azure,google cloud,mca,US,optional,No,instance,yes
java training call,Talent Strategy Senior Manager,Software Engineering > Custom Software Engineering,1,ASP.NET MVC,Jakarta Enterprise Beans,Azure,9,10,"english, french",part time,6-Senior Manager,AWS,management,btech,PH,optional,No,series,yes
User login issue - client call,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Packaged Application Development,12,Microsoft Functional Testing,Culture Strategy,Selenium,7,8,"english, japanese",full time,11-Analyst,Microsoft backend,Java,btech,IN,optional,No,instance,yes
Test team status call,People Advisor Analyst,Software Engineering > Custom Software Engineering,28,ASP.NET MVC,IT Troubleshooting,management ,13,12,"english, japanese",full time,11-Analyst,Microsoft frontend,dot net,mca,IN,required,yes,instance,yes
java training call,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,8,.NET Architecture,Amazon Web Services (AWS),Selenium,1,4,"english, hindi",part time,11-Analyst,Azure,SAP,mca,IN,required,No,series,yes
java training call,custom software engineering analyst,Technology & Information Architectures > Technology Architecture,18,SAP ABAP Development,Amazon Web Services (AWS),java,18,8,"english, japanese",part time,12-Associate,project management,management,btech,IN,required,No,instance,no
Test team status call,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,10,Communications Development and Delivery,ASP.NET MVC,management ,3,8,"english, japanese",full time,10-Senior Analyst,AWS,SAP,btech,IN,optional,No,instance,yes
User login issue - client call,SW/App/Cloud Tech Support Assoc Manager,Training & Development > Business Interlock,9,Microsoft Functional Testing,Vendor Management,management ,10,10,"english, french",part time,12-Associate,Cloud,Azure,mba,IN,optional,No,instance,yes
java training call,Custom Software Engineering Specialist,Software Engineering > Custom Software Engineering,3,Advance Front End Development NodeJs,Microsoft Avanade Agile Framework (AAF),management ,10,4,"english, chinese",full time,7-Manager,Microsoft backend,dot net,mba,US,optional,No,series,no
Agile scrum KT call,Business Interlock Manager,Software Engineering > Custom Software Engineering,20,Java Enterprise Edition,Microsoft Avanade Agile Framework (AAF),SAP,5,8,"english, chinese",full time,9-Team Lead/Consultant,Cloud,Java,mca,PH,optional,No,instance,yes
people lead connect - discuss queries,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,13,Behavioral Sciences,IT Troubleshooting,management ,16,10,"english, chinese",full time,11-Analyst,Azure,Java,mca,PH,required,No,instance,no
Java proect KT call,Custom Software Engineering Specialist,Training & Development > Business Interlock,6,Applications Architecture,Vendor Management,front end,1,8,"english, hindi",full time,11-Analyst,SAP,Azure,bca,IN,optional,No,instance,no
java training call,Packaged App Development Analyst,Technology & Information Architectures > Technology Architecture,29,Angular,Quality Engineering Strategy Implementation,Selenium,1,11,"english, french",full time,10-Senior Analyst,Cloud,Azure,mba,US,required,No,series,no
scrum call SAP project ,custom software engineering analyst,Training & Development > Business Interlock,24,Microsoft ASP.NET,SAP for Utilities ,java,13,12,"english, french",full time,11-Analyst,Azure,angular,mba,IN,optional,No,series,yes
new vendor onboarding call,custom software engineering analyst,Technology & Information Architectures > Technology Architecture,11,Angular,Avanade Scrum Project Management,Google cloud,12,4,"english, german",full time,9-Team Lead/Consultant,Cloud,management,btech,PH,optional,No,instance,no
User login issue - client call,custom software engineering associate manager,Sourcing & Procurement Services > Vendor Management,22,Java Enterprise Edition,Candidate Relationship Management,front end,18,10,"english, hindi",part time,12-Associate,Cloud,angular,mba,PH,optional,No,instance,no
weekly status call ,People Advisor Analyst,Software Engineering > Custom Software Engineering,28,Business Operation Management,Microsoft Avanade Agile Framework (AAF),management ,13,11,"english, french",part time,9-Team Lead/Consultant,AWS,angular,bca,IN,optional,No,instance,yes
Java proect KT call,Quality Engineering Associate Manager,Software Engineering > Custom Software Engineering,23,Microsoft Functional Testing,Avanade Scrum Project Management,SAP,3,8,"english, japanese",full time,12-Associate,Azure,Azure,bca,SL,optional,No,instance,yes
java training call,SW/App/Cloud Tech Support Assoc Manager,Human Resources > Talent Strategy,26,Angular,Candidate Relationship Management,management ,16,8,"english, hindi",full time,12-Associate,Azure,SAP,btech,PH,required,yes,series,no
people lead connect - discuss queries,custom software engineering associate manager,Human Resources > People Advisor,22,Microsoft ASP.NET,Vendor Management,AWS,12,11,"english, hindi",full time,11-Analyst,project management,SAP,bca,IN,required,yes,instance,no
new vendor onboarding call,Custom Software Engineering Specialist,Software Engineering > Quality Engineering,11,Applications Architecture,Vendor Management,Google cloud,13,12,"english, chinese",part time,10-Senior Analyst,Microsoft frontend,angular,mba,CN,optional,No,instance,yes
troubleshooting call - login issue,custom software engineering associate manager,Software Engineering > Packaged Application Development,17,Stakeholder Management,Vendor Management,Azure,14,8,"english, french",full time,12-Associate,AWS,Java,btech,US,required,yes,instance,no
weekly status call ,Tech Architecture Manager,Software Engineering > Custom Software Engineering,1,SAP ABAP Development,Angular,AWS,10,11,"english, german",part time,12-Associate,project management,google cloud,mba,IN,optional,No,series,no
new vendor onboarding call,Custom Software Engineering Specialist,Software Engineering > Custom Software Engineering,2,Communications Development and Delivery,Candidate Relationship Management,management ,7,11,"english, hindi",full time,6-Senior Manager,SAP,google cloud,btech,IN,optional,No,instance,no
new vendor onboarding call,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,11,Advance Front End Development NodeJs,Agile Team Practices,AWS,9,5,"english, japanese",part time,9-Team Lead/Consultant,project management,angular,btech,PH,required,No,instance,yes
Java proect KT call,SW/App/Cloud Tech Support Assoc Manager,Human Resources > People Advisor,11,Angular,SAP for Utilities ,Selenium,11,10,"english, hindi",full time,7-Manager,SAP,Java,mca,IN,required,No,series,yes
java training call,Tech Architecture Manager,Software Engineering > Custom Software Engineering,6,Automated Testing,Architectural Design,management ,19,10,"english, german",full time,11-Analyst,Google cloud,angular,btech,US,optional,No,series,yes
Agile scrum KT call,Packaged App Development Analyst,Software Engineering > Quality Engineering Architecture,12,Communications Development and Delivery,SAP for Utilities ,Google cloud,15,5,"english, french",full time,7-Manager,Google cloud,Azure,btech,IN,optional,yes,instance,yes
User login issue - client call,custom software engineering analyst,Software Engineering > Custom Software Engineering,13,Applications Architecture,Angular,management ,9,10,"english, japanese",full time,8-Associate Manager,Microsoft backend,Azure,mba,IN,optional,No,instance,no
User login issue - client call,Quality Engineering Team Lead,Software Engineering > Custom Software Engineering,4,Applications Architecture,ASP.NET MVC,java,16,3,"english, hindi",full time,12-Associate,project management,google cloud,btech,CN,required,No,instance,yes
Java proect KT call,Business Interlock Manager,Software Engineering > Packaged Application Development,28,SAP ABAP Development,Angular,AWS,4,11,"english, hindi",full time,10-Senior Analyst,Microsoft backend,dot net,btech,SL,required,No,instance,yes
User login issue - client call,People Advisor Analyst,Sourcing & Procurement Services > Vendor Management,11,Microsoft Functional Testing,Microsoft Avanade Agile Framework (AAF),AWS,6,8,"english, hindi",full time,11-Analyst,SAP,Java,btech,IN,optional,No,series,yes
new vendor onboarding call,Quality Engineering Associate Manager,Human Resources > Talent Strategy,6,Stakeholder Management,Amazon Web Services (AWS),management ,3,12,"english, japanese",part time,12-Associate,SAP,Azure,mca,PH,optional,No,series,yes
Java proect KT call,People Advisor Analyst,Software Engineering > Custom Software Engineering,27,Microsoft Functional Testing,Jakarta Enterprise Beans,management ,5,5,"english, hindi",part time,7-Manager,Microsoft backend,Azure,btech,CN,optional,yes,series,yes
User login issue - client call,custom software engineering analyst,Human Resources > People Advisor,23,Applications Architecture,Vendor Management,AWS,9,4,"english, chinese",full time,12-Associate,project management,Java,mca,PH,optional,yes,series,yes
people lead connect - discuss queries,Packaged App Development Analyst,Technology & Information Architectures > Technology Architecture,26,ASP.NET MVC,Avanade Scrum Project Management,management ,6,5,"english, hindi",part time,11-Analyst,AWS,angular,mba,IN,optional,No,instance,yes
people lead connect - discuss queries,Talent Strategy Senior Manager,Training & Development > Business Interlock,28,Business Operation Management,Quality Engineering Strategy Implementation,Selenium,16,8,"english, japanese",full time,9-Team Lead/Consultant,Cloud,Azure,btech,IN,optional,No,instance,yes
Java proect KT call,custom software engineering analyst,Software Engineering > Custom Software Engineering,7,Advance Front End Development NodeJs,Culture Strategy,Google cloud,3,12,"english, japanese",full time,12-Associate,SAP,google cloud,btech,IN,required,yes,series,yes
java training call,Quality Engineering Associate Manager,Training & Development > Business Interlock,2,Business Operation Management,Candidate Relationship Management,SAP,10,12,"english, hindi",part time,9-Team Lead/Consultant,project management,google cloud,btech,US,required,No,instance,no
people lead connect - discuss queries,custom software engineering analyst,Information Technology Operations > Software/Application/Cloud Tech Support,21,SAP ABAP Development,Jakarta Enterprise Beans,SAP,6,8,"english, french",full time,9-Team Lead/Consultant,Google cloud,SAP,mba,IN,optional,yes,instance,yes
new vendor onboarding call,custom software engineering analyst,Software Engineering > Packaged Application Development,14,Microsoft ASP.NET,Jakarta Enterprise Beans,AWS,9,8,"english, french",part time,8-Associate Manager,Microsoft backend,Azure,mba,IN,optional,No,instance,yes
weekly status call ,Quality Engineering Team Lead,Software Engineering > Custom Software Engineering,10,Microsoft ASP.NET,Microsoft Avanade Agile Framework (AAF),management ,4,11,"english, chinese",full time,12-Associate,Cloud,SAP,btech,IN,optional,No,instance,yes
scrum call SAP project ,Packaged App Development Analyst,Software Engineering > Packaged Application Development,8,Java Enterprise Edition,SAP for Utilities ,AWS,19,10,"english, chinese",part time,12-Associate,Microsoft backend,Java,btech,US,optional,yes,instance,yes
new vendor onboarding call,custom software engineering analyst,Software Engineering > Custom Software Engineering,1,Advance Front End Development NodeJs,Candidate Relationship Management,front end,4,12,"english, chinese",full time,11-Analyst,SAP,angular,mba,SL,optional,No,instance,no
people lead connect - discuss queries,Quality Engineering Team Lead,Software Engineering > Quality Engineering Architecture,29,Microsoft Azure Machine Learning,Microsoft Avanade Agile Framework (AAF),Scrum,11,8,"english, hindi",full time,12-Associate,SAP,google cloud,mba,US,required,yes,instance,yes
Java proect KT call,Business Interlock Manager,Training & Development > Business Interlock,28,Stakeholder Management,Agile Team Practices,front end,13,10,"english, japanese",full time,9-Team Lead/Consultant,Microsoft frontend,dot net,btech,IN,required,No,instance,no
User login issue - client call,Tech Architecture Manager,Information Technology Operations > Software/Application/Cloud Tech Support,28,Applications Architecture,Quality Engineering Strategy Implementation,AWS,11,4,"english, chinese",part time,9-Team Lead/Consultant,SAP,google cloud,btech,US,optional,No,instance,yes
Java proect KT call,Talent Strategy Senior Manager,Software Engineering > Packaged Application Development,10,Behavioral Sciences,ASP.NET MVC,management ,3,8,"english, hindi",full time,12-Associate,SAP,Azure,btech,IN,optional,No,instance,yes
troubleshooting call - login issue,custom software engineering analyst,Human Resources > People Advisor,17,ASP.NET MVC,Angular,SAP,16,12,"english, french",full time,12-Associate,SAP,google cloud,btech,PH,optional,yes,series,no
Java proect KT call,Business Interlock Manager,Software Engineering > Quality Engineering,27,Automated Testing,Amazon Web Services (AWS),management ,19,11,"english, french",full time,6-Senior Manager,Azure,management,btech,IN,optional,yes,instance,yes
troubleshooting call - login issue,custom software engineering analyst,Software Engineering > Packaged Application Development,15,Microsoft Azure Machine Learning,Quality Engineering Strategy Implementation,Azure,13,8,"english, japanese",part time,6-Senior Manager,Microsoft frontend,Java,btech,PH,required,No,instance,yes
Agile scrum KT call,Quality Engineering Team Lead,Software Engineering > Packaged Application Development,28,Java Enterprise Edition,Avanade Scrum Project Management,Selenium,7,10,"english, chinese",full time,12-Associate,Microsoft backend,dot net,btech,IN,required,No,instance,no
Agile scrum KT call,Vendor Management Specialist,Software Engineering > Custom Software Engineering,23,Stakeholder Management,IT Troubleshooting,java,9,6,"english, hindi",part time,10-Senior Analyst,Cloud,Java,btech,CN,required,No,instance,yes
scrum call SAP project ,Business Interlock Manager,Software Engineering > Custom Software Engineering,2,SAP ABAP Development,Vendor Management,AWS,16,12,"english, hindi",full time,12-Associate,Microsoft backend,angular,mca,IN,required,No,instance,yes
Test team status call,Vendor Management Specialist,Technology & Information Architectures > Technology Architecture,25,Automated Testing,Angular,management ,6,6,"english, hindi",full time,9-Team Lead/Consultant,Microsoft frontend,Java,mca,US,required,No,series,yes
people lead connect - discuss queries,Tech Architecture Manager,Human Resources > People Advisor,28,Behavioral Sciences,ASP.NET MVC,management ,4,3,"english, hindi",part time,7-Manager,SAP,dot net,mca,PH,optional,No,instance,yes
troubleshooting call - login issue,SW/App/Cloud Tech Support Assoc Manager,Human Resources > Talent Strategy,10,Java Enterprise Edition,Agile Team Practices,Scrum,1,10,"english, hindi",full time,11-Analyst,Cloud,google cloud,btech,PH,optional,No,instance,yes
weekly status call ,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,26,Applications Architecture,Quality Engineering Strategy Implementation,management ,1,8,"english, japanese",full time,11-Analyst,Google cloud,Azure,btech,IN,optional,No,series,yes
weekly status call ,custom software engineering associate manager,Sourcing & Procurement Services > Vendor Management,23,Applications Architecture,Culture Strategy,AWS,6,8,"english, hindi",part time,9-Team Lead/Consultant,Google cloud,dot net,btech,IN,optional,No,instance,yes
troubleshooting call - login issue,SW/App/Cloud Tech Support Assoc Manager,Information Technology Operations > Software/Application/Cloud Tech Support,3,Angular,SAP for Utilities ,AWS,12,3,"english, french",full time,9-Team Lead/Consultant,Google cloud,SAP,btech,PH,optional,No,instance,yes
Test team status call,People Advisor Analyst,Software Engineering > Custom Software Engineering,9,Microsoft Azure Machine Learning,ASP.NET MVC,management ,8,6,"english, chinese",full time,12-Associate,AWS,dot net,mca,US,optional,yes,instance,yes
scrum call SAP project ,Talent Strategy Senior Manager,Software Engineering > Custom Software Engineering,11,.NET Architecture,Microsoft Avanade Agile Framework (AAF),front end,5,11,"english, german",full time,6-Senior Manager,Microsoft frontend,management,bca,SL,optional,No,instance,no
Test team status call,Business Interlock Manager,Human Resources > People Advisor,7,ASP.NET MVC,Vendor Management,java,6,8,"english, japanese",full time,6-Senior Manager,SAP,SAP,mba,PH,required,No,instance,yes
weekly status call ,Tech Architecture Manager,Software Engineering > Packaged Application Development,12,Microsoft ASP.NET,Culture Strategy,management ,16,12,"english, german",full time,7-Manager,Cloud,Azure,btech,IN,required,yes,instance,yes
Test team status call,custom software engineering analyst,Software Engineering > Custom Software Engineering,27,Java Enterprise Edition,ASP.NET MVC,Azure,11,12,"english, german",part time,8-Associate Manager,project management,dot net,btech,IN,required,No,instance,yes
java training call,Talent Strategy Senior Manager,Software Engineering > Quality Engineering Architecture,7,Applications Architecture,Avanade Scrum Project Management,AWS,10,10,"english, french",full time,9-Team Lead/Consultant,SAP,google cloud,mca,IN,required,No,instance,yes
troubleshooting call - login issue,Business Interlock Manager,Information Technology Operations > Software/Application/Cloud Tech Support,13,Communications Development and Delivery,Angular,AWS,3,10,"english, hindi",full time,10-Senior Analyst,Microsoft frontend,SAP,mba,IN,optional,No,instance,no
